customer_id,customer_name,city,state,segment
1,Customer 1,City 47,MO,New
2,Customer 2,City 22,NY,New
3,Customer 3,City 40,IL,New
4,Customer 4,City 39,GA,VIP
5,Customer 5,City 20,TX,VIP
6,Customer 6,City 50,IL,Returning
7,Customer 7,City 39,MO,Returning
8,Customer 8,City 6,WA,VIP
9,Customer 9,City 50,WA,New
10,Customer 10,City 34,GA,VIP
11,Customer 11,City 6,TX,New
12,Customer 12,City 26,WA,VIP
13,Customer 13,City 30,CA,Returning
14,Customer 14,City 11,CA,VIP
15,Customer 15,City 31,NY,New
16,Customer 16,City 31,WA,Returning
17,Customer 17,City 29,IL,Returning
18,Customer 18,City 18,WA,Returning
19,Customer 19,City 48,IL,New
20,Customer 20,City 28,WA,New
21,Customer 21,City 28,IL,VIP
22,Customer 22,City 7,WA,Returning
23,Customer 23,City 1,NY,New
24,Customer 24,City 48,GA,VIP
25,Customer 25,City 20,FL,VIP
26,Customer 26,City 20,GA,New
27,Customer 27,City 22,FL,VIP
28,Customer 28,City 43,WA,Returning
29,Customer 29,City 20,MO,VIP
30,Customer 30,City 7,NY,New
31,Customer 31,City 32,CA,VIP
32,Customer 32,City 49,NY,New
33,Customer 33,City 4,CA,VIP
34,Customer 34,City 13,GA,VIP
35,Customer 35,City 1,CA,VIP
36,Customer 36,City 4,NY,Returning
37,Customer 37,City 33,TX,Returning
38,Customer 38,City 34,GA,Returning
39,Customer 39,City 5,GA,New
40,Customer 40,City 15,TX,VIP
41,Customer 41,City 32,TX,Returning
42,Customer 42,City 41,FL,Returning
43,Customer 43,City 8,WA,VIP
44,Customer 44,City 44,IL,New
45,Customer 45,City 37,CA,New
46,Customer 46,City 35,FL,Returning
47,Customer 47,City 24,WA,Returning
48,Customer 48,City 10,CA,VIP
49,Customer 49,City 32,MO,Returning
50,Customer 50,City 19,TX,New
51,Customer 51,City 30,GA,VIP
52,Customer 52,City 45,WA,VIP
53,Customer 53,City 20,MO,Returning
54,Customer 54,City 16,FL,New
55,Customer 55,City 10,MO,New
56,Customer 56,City 28,MO,New
57,Customer 57,City 49,CA,Returning
58,Customer 58,City 10,CA,New
59,Customer 59,City 26,FL,Returning
60,Customer 60,City 22,CA,New
61,Customer 61,City 47,IL,Returning
62,Customer 62,City 39,WA,New
63,Customer 63,City 10,TX,Returning
64,Customer 64,City 4,CA,VIP
65,Customer 65,City 37,IL,VIP
66,Customer 66,City 37,GA,New
67,Customer 67,City 50,IL,Returning
68,Customer 68,City 6,TX,New
69,Customer 69,City 1,IL,VIP
70,Customer 70,City 35,IL,Returning
71,Customer 71,City 19,GA,Returning
72,Customer 72,City 12,GA,New
73,Customer 73,City 20,NY,Returning
74,Customer 74,City 3,CA,VIP
75,Customer 75,City 6,IL,Returning
76,Customer 76,City 18,NY,New
77,Customer 77,City 3,FL,VIP
78,Customer 78,City 26,IL,VIP
79,Customer 79,City 35,WA,VIP
80,Customer 80,City 27,WA,New
81,Customer 81,City 21,NY,VIP
82,Customer 82,City 23,TX,New
83,Customer 83,City 12,IL,Returning
84,Customer 84,City 8,MO,New
85,Customer 85,City 46,IL,VIP
86,Customer 86,City 29,FL,VIP
87,Customer 87,City 49,NY,New
88,Customer 88,City 5,CA,Returning
89,Customer 89,City 6,GA,New
90,Customer 90,City 42,GA,Returning
91,Customer 91,City 14,WA,New
92,Customer 92,City 13,FL,VIP
93,Customer 93,City 9,FL,New
