order_date,state,segment,title,quantity,total_price
2025-11-20,CA,VIP,Gigabyte Aorus Men Tshirt,3,74.97
2025-11-20,CA,VIP,Microwave Oven,1,89.99
2025-11-20,CA,VIP,Green Bell Pepper,1,1.29
2025-11-20,CA,VIP,Huawei Matebook X Pro,2,2799.98
2025-11-20,CA,VIP,Red Nail Polish,2,17.98
2025-11-20,FL,Returning,Fish Steak,3,44.97
2025-11-20,FL,Returning,Nescafe Coffee,2,15.98
2025-11-20,FL,Returning,Longines Master Collection,1,1499.99
2025-11-20,FL,Returning,Glass,1,4.99
2025-11-20,MO,New,Chanel Coco Noir Eau De,2,259.98
2025-11-20,MO,New,Tissue Paper Box,3,7.47
2025-11-20,MO,New,Plant Pot,2,29.98
2025-11-20,MO,New,Juice,2,7.98
2025-11-20,FL,Returning,Amazon Echo Plus,3,299.97
2025-11-20,NY,VIP,Red Nail Polish,1,8.99
2025-11-20,NY,VIP,Knife,1,14.99
2025-11-20,FL,New,Protein Powder,1,19.99
2025-11-20,IL,New,Spoon,1,4.99
2025-11-20,IL,New,Green Bell Pepper,2,2.58
2025-11-20,MO,VIP,Table Lamp,2,99.98
2025-11-20,MO,VIP,Grater Black,1,10.99
2025-11-20,MO,VIP,Essence Mascara Lash Princess,1,9.99
2025-11-20,CA,Returning,Fish Steak,1,14.99
2025-11-20,GA,VIP,Red Lipstick,1,12.99
2025-11-20,TX,Returning,Cucumber,3,4.47
2025-11-20,TX,Returning,Gucci Bloom Eau de,3,239.97
2025-11-20,TX,Returning,Dior J'adore,2,179.98
2025-11-20,TX,Returning,Bamboo Spatula,2,15.98
2025-11-20,WA,Returning,Hand Blender,2,69.98
2025-11-20,IL,Returning,Plant Pot,2,29.98
2025-11-20,IL,Returning,Powder Canister,2,29.98
2025-11-20,IL,Returning,Puma Future Rider Trainers,2,179.98
2025-11-20,FL,New,Grater Black,3,32.97
2025-11-20,FL,New,Cat Food,2,17.98
2025-11-20,FL,New,Chicken Meat,3,29.97
2025-11-20,NY,VIP,Red Onions,1,1.99
2025-11-20,NY,VIP,Sports Sneakers Off White & Red,1,119.99
2025-11-20,NY,New,Powder Canister,1,14.99
2025-11-20,NY,VIP,Egg Slicer,3,20.97
2025-11-20,NY,VIP,Huawei Matebook X Pro,1,1399.99
2025-11-20,CA,VIP,Spoon,3,14.97
2025-11-20,CA,VIP,Knoll Saarinen Executive Conference Chair,1,499.99
2025-11-20,CA,VIP,Apple,2,3.98
2025-11-20,CA,VIP,New DELL XPS 13 9300 Laptop,2,2999.98
2025-11-20,FL,New,Knife,3,44.97
2025-11-20,FL,New,Gucci Bloom Eau de,2,159.98
2025-11-20,WA,VIP,Men Check Shirt,3,83.97
2025-11-20,WA,VIP,Bedside Table African Cherry,1,299.99
2025-11-20,TX,Returning,Asus Zenbook Pro Dual Screen Laptop,1,1799.99
2025-11-20,TX,Returning,Black Aluminium Cup,2,11.98
2025-11-20,TX,Returning,Chopping Board,1,12.99
2025-11-20,IL,New,Cooking Oil,1,4.99
2025-11-20,IL,New,Boxed Blender,2,79.98
2025-11-20,WA,VIP,New DELL XPS 13 9300 Laptop,2,2999.98
2025-11-20,WA,VIP,Longines Master Collection,1,1499.99
2025-11-20,WA,VIP,Potatoes,2,4.58
2025-11-20,CA,Returning,Blue & Black Check Shirt,3,89.97
2025-11-20,CA,Returning,Nike Air Jordan 1 Red And Black,3,449.97
