order_item_id,order_id,product_id,quantity,unit_price,total_price
1,1,84,3,24.99,74.97
2,1,66,1,89.99,89.99
3,2,25,1,1.29,1.29
4,2,80,2,1399.99,2799.98
5,2,5,2,8.99,17.98
6,3,24,3,14.99,44.97
7,3,34,2,7.99,15.98
8,3,94,1,1499.99,1499.99
9,3,59,1,4.99,4.99
10,4,7,2,129.99,259.98
11,4,41,3,2.49,7.47
12,4,46,2,14.99,29.98
13,4,29,2,3.99,7.98
14,5,99,3,99.99,299.97
15,6,5,1,8.99,8.99
16,6,64,1,14.99,14.99
17,7,36,1,19.99,19.99
18,8,74,1,4.99,4.99
19,8,25,2,1.29,2.58
20,9,47,2,49.99,99.98
21,9,60,1,10.99,10.99
22,9,1,1,9.99,9.99
23,10,24,1,14.99,14.99
24,11,4,1,12.99,12.99
25,12,21,3,1.49,4.47
26,12,10,3,79.99,239.97
27,12,8,2,89.99,179.98
28,12,48,2,7.99,15.98
29,13,61,2,34.99,69.98
30,14,46,2,14.99,29.98
31,14,3,2,14.99,29.98
32,14,90,2,89.99,179.98
33,15,60,3,10.99,32.97
34,15,18,2,8.99,17.98
35,15,19,3,9.99,29.97
36,16,37,1,1.99,1.99
37,16,91,1,119.99,119.99
38,17,3,1,14.99,14.99
39,18,55,3,6.99,20.97
40,18,80,1,1399.99,1399.99
41,19,74,3,4.99,14.97
42,19,14,1,499.99,499.99
43,19,16,2,1.99,3.98
44,19,82,2,1499.99,2999.98
45,20,64,3,14.99,44.97
46,20,10,2,79.99,159.98
47,21,87,3,27.99,83.97
48,21,13,1,299.99,299.99
49,22,79,1,1799.99,1799.99
50,22,49,2,5.99,11.98
51,22,53,1,12.99,12.99
52,23,20,1,4.99,4.99
53,23,51,2,39.99,79.98
54,24,82,2,1499.99,2999.98
55,24,94,1,1499.99,1499.99
56,24,35,2,2.29,4.58
57,25,83,3,29.99,89.97
58,25,88,3,149.99,449.97
59,26,35,3,2.29,6.87
60,26,63,2,7.99,15.98
61,27,25,3,1.29,3.87
62,27,74,1,4.99,4.99
63,27,94,3,1499.99,4499.97
64,28,94,3,1499.99,4499.97
65,28,8,2,89.99,179.98
66,28,1,1,9.99,9.99
67,28,50,2,9.99,19.98
68,29,30,3,2.49,7.47
69,30,57,1,9.99,9.99
70,30,100,2,129.99,259.98
71,30,52,1,29.99,29.99
72,30,66,3,89.99,269.97
73,31,40,1,3.99,3.99
74,31,5,3,8.99,26.97
75,32,99,3,99.99,299.97
76,32,86,3,19.99,59.97
77,32,65,3,12.99,38.97
78,33,14,2,499.99,999.98
79,33,70,1,6.99,6.99
80,34,21,1,1.49,1.49
81,34,16,2,1.99,3.98
82,35,42,2,0.99,1.98
83,36,81,2,1099.99,2199.98
84,36,66,1,89.99,89.99
85,36,93,3,89.99,269.97
86,36,75,1,16.99,16.99
87,37,74,2,4.99,9.98
88,37,73,2,19.99,39.98
89,38,28,1,5.49,5.49
90,38,97,3,10999.99,32999.97
91,38,69,2,3.99,7.98
92,38,51,3,39.99,119.97
93,39,50,1,9.99,9.99
94,39,100,3,129.99,389.97
95,40,64,1,14.99,14.99
96,40,94,2,1499.99,2999.98
97,41,56,3,49.99,149.97
98,41,25,1,1.29,1.29
99,41,90,3,89.99,269.97
100,42,37,1,1.99,1.99
101,43,9,3,69.99,209.97
102,43,31,2,0.79,1.58
103,43,48,1,7.99,7.99
104,44,14,3,499.99,1499.97
105,45,39,1,1.99,1.99
106,45,49,3,5.99,17.97
107,46,24,2,14.99,29.98
108,46,42,1,0.99,0.99
109,46,36,1,19.99,19.99
110,47,70,3,6.99,20.97
111,47,85,3,34.99,104.97
112,47,1,2,9.99,19.98
113,48,46,2,14.99,29.98
114,48,78,1,1999.99,1999.99
115,48,84,3,24.99,74.97
116,49,52,2,29.99,59.98
117,49,14,2,499.99,999.98
118,49,84,1,24.99,24.99
119,50,54,3,8.99,26.97
120,50,28,3,5.49,16.47
121,50,99,3,99.99,299.97
122,50,50,3,9.99,29.97
123,51,60,2,10.99,21.98
124,51,36,1,19.99,19.99
125,52,47,2,49.99,99.98
126,52,91,3,119.99,359.97
127,52,15,3,799.99,2399.97
128,52,52,3,29.99,89.97
129,53,50,3,9.99,29.97
130,54,54,1,8.99,8.99
131,54,95,2,8999.99,17999.98
132,55,81,3,1099.99,3299.97
133,55,10,2,79.99,159.98
134,55,70,2,6.99,13.98
135,56,78,2,1999.99,3999.98
136,57,25,1,1.29,1.29
137,57,99,3,99.99,299.97
138,57,76,1,11.99,11.99
139,57,80,2,1399.99,2799.98
140,58,28,3,5.49,16.47
141,59,51,1,39.99,39.99
142,59,52,2,29.99,59.98
143,59,21,2,1.49,2.98
144,60,30,3,2.49,7.47
145,60,92,3,109.99,329.97
