order_id,customer_id,order_date,total_amount,order_status
1,31,2025-11-20,164.96,Completed
2,216,2025-11-20,2819.25,Completed
3,261,2025-11-20,1565.93,Completed
4,282,2025-11-20,305.41,Completed
5,258,2025-11-20,299.97,Completed
6,278,2025-11-20,23.98,Completed
7,189,2025-11-20,19.99,Completed
8,215,2025-11-20,7.57,Completed
9,408,2025-11-20,120.96,Completed
10,475,2025-11-20,14.99,Completed
11,369,2025-11-20,12.99,Completed
12,37,2025-11-20,440.4,Completed
13,28,2025-11-20,69.98,Completed
14,70,2025-11-20,239.94,Completed
15,189,2025-11-20,80.92,Completed
16,345,2025-11-20,121.98,Completed
17,331,2025-11-20,14.99,Completed
18,248,2025-11-20,1420.96,Completed
19,191,2025-11-20,3518.92,Completed
20,312,2025-11-20,204.95,Completed
21,488,2025-11-20,383.96,Completed
22,280,2025-11-20,1824.96,Completed
23,403,2025-11-20,84.97,Completed
24,440,2025-11-20,4504.55,Completed
25,109,2025-11-20,539.94,Completed
26,231,2025-11-20,22.85,Completed
27,454,2025-11-20,4508.83,Completed
28,72,2025-11-20,4709.92,Completed
29,261,2025-11-20,7.47,Completed
30,327,2025-11-20,569.93,Completed
31,168,2025-11-20,30.96,Completed
32,7,2025-11-20,398.91,Completed
33,49,2025-11-20,1006.97,Completed
34,178,2025-11-20,5.47,Completed
35,181,2025-11-20,1.98,Completed
36,128,2025-11-20,2576.93,Completed
37,376,2025-11-20,49.96,Completed
38,277,2025-11-20,33133.41,Completed
39,197,2025-11-20,399.96,Completed
40,161,2025-11-20,3014.97,Completed
41,4,2025-11-20,421.23,Completed
42,462,2025-11-20,1.99,Completed
43,397,2025-11-20,219.54,Completed
44,306,2025-11-20,1499.97,Completed
45,187,2025-11-20,19.96,Completed
46,347,2025-11-20,50.96,Completed
47,231,2025-11-20,145.92,Completed
48,322,2025-11-20,2104.94,Completed
49,347,2025-11-20,1084.95,Completed
50,455,2025-11-20,373.38,Completed
51,319,2025-11-20,41.97,Completed
52,23,2025-11-20,2949.89,Completed
53,39,2025-11-20,29.97,Completed
54,456,2025-11-21,18008.97,Completed
55,52,2025-11-21,3473.93,Completed
56,226,2025-11-21,3999.98,Completed
57,56,2025-11-21,3113.23,Completed
